rank,funny,somewhat_funny,unfunny,count,score,precision,contest,caption
1,810,733,855,2398,1.9812343619683068,0.01701525068712556,551,Row v. Wave
2,637,673,787,2097,1.9284692417739628,0.01793154766725562,551,We shall overcomb.
3,590,522,742,1854,1.9180151024811218,0.019598301061324725,551,Row v. Wave
4,404,593,551,1548,1.9050387596899225,0.019823191113115,551,"I don't know what's worse, the undertow or the combover"
5,264,250,347,861,1.9036004645760742,0.02853694225712633,551,"Don't worry, the polls show it will miss us."
6,406,494,559,1459,1.8951336531871144,0.021121098600510025,551,"Ladies and gentlemen, if you look to your right, you’ll see a gift of friendship from the people of France; straight ahead, a gift of friendship from the people of Russia"
7,292,455,447,1194,1.8701842546063652,0.02246494606528204,551,You've got it all wrong. We're emigrating.
8,362,456,539,1357,1.8695652173913044,0.021842682960761164,551,Mayday! We've been hit by a raging tycoon!
9,266,371,415,1052,1.858365019011407,0.02443029142494402,551,To think this started as a Twitter storm.
10,349,384,528,1261,1.858049167327518,0.02315115511975683,551,We shall overcomb.
11,295,406,475,1176,1.846938775510204,0.023179854906005774,551,Did you just say there will be hell toupee?
12,224,285,370,879,1.8339021615472126,0.027170670953802056,551,"I'm the perfect storm..the best storm, everybody tells me that."
13,213,296,392,901,1.8013318534961154,0.026499624844086054,551,Don't worry --if you're not a 10 it won't touch you.
14,151,208,293,652,1.7822085889570551,0.031196037805444967,551,"Huge wave, really terrific. But such tiny hands."
15,168,240,340,748,1.7700534759358288,0.028954772031976925,551,Unpresidented weather we're having.
16,173,225,346,744,1.76747311827957,0.02942956768552703,551,Attention Everyone! Small hands on deck!
17,182,185,352,719,1.7635605006954103,0.030927954629738418,551,"All together now! 'Rue, rue, rue your vote . . .'"
18,139,255,312,706,1.754957507082153,0.028652091997561434,551,"'In retrospect, maybe the Cruz ship was a safer bet.'"
19,120,236,290,646,1.736842105263158,0.02960784635786333,551,It's a great wave. The best wave. No wave has ever been better.
20,138,188,306,632,1.7341772151898733,0.03164456657520877,551,The scariest part is how shallow it is!
21,127,188,293,608,1.7269736842105263,0.03186271272545861,551,"Everybody, lean left!"
22,123,148,286,557,1.7073608617594256,0.03415614743367062,551,Relax ... it's just Alec Baldwin.
23,84,191,244,519,1.6917148362235068,0.03219585465586294,551,Don't sweat it -- he switches direction every two seconds.
24,69,95,177,341,1.683284457478006,0.04274062985574698,551,I was expecting a wall.
25,106,111,263,480,1.6729166666666666,0.037169321228898246,551,Small hands on deck!
25,94,135,251,480,1.6729166666666666,0.03573757556137985,551,Hell AND high water?!
27,98,108,251,457,1.6652078774617067,0.037801141246892954,551,"Woe, woe, woe your vote..."
28,74,149,228,451,1.6585365853658536,0.035056329158571556,551,"Ha ha ha, good one. Now do Putin riding on a seahorse!"
29,86,116,238,440,1.6545454545454545,0.0374903113797959,551,There will be hell toupee!
30,82,99,225,406,1.6477832512315271,0.03950624258703361,551,Small hands on deck!
31,79,117,230,426,1.6455399061032865,0.0375643809545156,551,Something tells me this wave is going to touch us inappropriately.
32,70,121,219,410,1.6365853658536584,0.03742336431622837,551,Everyone take a deep breath and hold it for four years!
33,73,104,221,398,1.6281407035175879,0.03888930654585983,551,It's a foam over.
34,75,95,222,392,1.625,0.039725015832936854,551,Thar he bloviates!
35,74,98,222,394,1.6243654822335025,0.039402914624480985,551,We're about to experience extreme wetting!
36,72,99,219,390,1.623076923076923,0.03940700680968326,551,Quick! Tweet something to distract him.
37,71,100,218,389,1.6221079691516709,0.0393283889319391,551,Have we huddled masses arrived at a bad time?
38,64,105,210,379,1.6147757255936674,0.03898708928637028,551,Don't worry. It's only Alec Baldwin.
39,48,133,193,374,1.6122994652406417,0.036394963343806035,551,That's a surprise. All the forecasts said we'd be seeing Hillary.
40,53,122,198,373,1.611260053619303,0.037452604676302556,551,"I thought ""tweeting up a storm"" was just a saying."
41,63,96,207,366,1.6065573770491803,0.039962579087666365,551,It's OK—we're Russian.
42,63,93,207,363,1.603305785123967,0.0402490641178883,551,"Hold on, everyone. Hell AND high water are coming."
43,54,108,197,359,1.6016713091922006,0.03885579267309923,551,"Oh for heaven's sake, Ruthie, you're seeing him everywhere now."
43,56,104,199,359,1.6016713091922006,0.039254244362358116,551,The storm suddenly appeared out of thin hair.
43,61,94,204,359,1.6016713091922006,0.04023311311558993,551,Ok stay calm! Take a deep breath and hold it for four years!
46,58,99,201,358,1.600558659217877,0.039743938897166126,551,"Whatever you do, don't mention the little hands."
47,57,95,199,351,1.5954415954415955,0.04020224679740772,551,Quick - compliment him on something!
48,56,98,199,353,1.594900849858357,0.03982469689556628,551,Quick everyone. Shout out compliments.
49,50,100,188,338,1.5917159763313609,0.03993489389369266,551,"On second thought, let's yearn to be free somewhere else."
50,55,91,196,342,1.587719298245614,0.040666829977970144,551,"Hold on, everyone. We've got hell AND high water coming."
51,52,95,192,339,1.5870206489675516,0.04030989671820838,551,It looks just like Alec Baldwin!
52,66,64,205,335,1.5850746268656717,0.043664211307792376,551,I knew there'd be hell toupee.
53,43,109,183,335,1.5820895522388059,0.03869029970662238,551,"Be careful, These waves usually come in gropes."
54,52,89,191,332,1.5813253012048192,0.0410084070458176,551,How did we not see this coming?
55,50,88,188,326,1.5766871165644172,0.041170099396778584,551,Tycoon season is early this year!
56,49,89,187,325,1.5753846153846154,0.04104557920067713,551,"Hold on, everyone. We've got hell AND high water coming."
56,54,79,192,325,1.5753846153846154,0.042186565794722936,551,"But we're trying to leave the country, not enter it."
58,47,94,186,327,1.5749235474006116,0.040391042397627155,551,Everybody lean to the right.
59,45,96,183,324,1.5740740740740742,0.04021193118570326,551,They're called twitter storms.
60,52,84,192,328,1.5731707317073171,0.041446299759701336,551,Wait! We're deplorables.
61,66,53,204,323,1.5727554179566563,0.045045711076201034,551,I think I'm about to experience extreme wetting.
62,53,66,182,301,1.5714285714285714,0.04461156156656446,551,"Looks like you've got a small dinghy, too."
62,51,82,189,322,1.5714285714285714,0.041829953402042694,551,"And to your right, you'll catch our last glimpse of Lady Liberty for quite some time."
64,50,80,187,317,1.5678233438485805,0.042129149207008165,551,"On a positive note, it's not a permanent wave."
64,43,94,180,317,1.5678233438485805,0.040436439005450464,551,"Freak wave, ahead! Hope you all have strong Constitutions."
66,46,87,183,316,1.5664556962025316,0.041278107535853426,551,Take a deep breath and hold it for four years.
67,55,68,192,315,1.565079365079365,0.04352944041626215,551,"Look, it's Alec Baldwin!"
68,40,96,176,312,1.564102564102564,0.0401885074870631,551,Just try to stay calm and look deplorable.
69,50,75,186,311,1.562700964630225,0.04279026107899183,551,Irrefutable evidence the climate has changed.
70,44,86,180,310,1.5612903225806452,0.04141957013257502,551,"Don't worry, this is almost statistically impossible."
71,45,75,174,294,1.5612244897959184,0.043419299071253796,551,They lied. It can get worse.
72,38,65,149,252,1.5595238095238095,0.04672732710475617,551,"No, I said the weather looked ""Alt-right"" today."
73,57,45,183,285,1.5578947368421052,0.047717190610296605,551,Moby Dickhead!
74,52,66,187,305,1.5573770491803278,0.04396812095684899,551,Comboverboard!
75,45,71,173,289,1.5570934256055364,0.04402331397308343,551,"Yes, we're tired, poor, and huddled. But, actually, we're headed to Canada."
76,40,89,175,304,1.555921052631579,0.04102767039431898,551,Don't panic. Just hold your breath for four years.
77,45,77,180,302,1.5529801324503312,0.04255956742493437,551,"Unfortunately, garbage from New York sometimes finds its way into the Hudson."
78,49,67,183,299,1.5518394648829432,0.04392916305212232,551,Relax. We're not immigrants. We're from the French embassy. We're taking back the statue.
79,40,84,174,298,1.5503355704697988,0.04167869346364379,551,I've never seen an anti-immigrant wave like this!
79,37,90,171,298,1.5503355704697988,0.04085733073434491,551,I would have preferred a wall.
81,42,79,176,297,1.5488215488215489,0.04233252931061743,551,Comboverboard!
81,37,89,171,297,1.5488215488215489,0.04096697357731188,551,"Hold tight, these tweet-storms are unpredictable...."
83,34,93,167,294,1.5476190476190477,0.04043386473542342,551,This wasn't in the forecast until January.
83,31,99,164,294,1.5476190476190477,0.03956317711066614,551,"Hold on, everything is going to be Alt-Right!"
85,43,74,176,293,1.546075085324232,0.04305907239273037,551,It's gonna grab us by the dinghy!
86,39,81,172,292,1.5445205479452055,0.04207427602094791,551,Oh for God sake Shirley ... you can't blame EVERYTHING on him!
87,41,76,174,291,1.5429553264604812,0.04274792923032403,551,Giant metaphor off the starboard bow!
88,44,67,176,287,1.5400696864111498,0.044052361933539785,551,I think we’re screwed. It’s a Category 4 Tweetstorm.
89,45,64,177,286,1.5384615384615385,0.04445403795305362,551,So this is what he meant by extreme wetting.
89,52,50,184,286,1.5384615384615385,0.046345653052108776,551,Get ready for extreme wetting.
91,46,60,177,283,1.5371024734982333,0.04510475379024329,551,It's a tidal weave
